Note_ID,Note_Name,Chemical_Name,CAS,Volatility_Class,Odor_Strength,Accords_Used_In,Chemical_Family,Odor_Family,Key_Nuances,Molecular_Weight,Boiling_Point_C,Vapor_Pressure,LogP,Odor_Threshold_mg_L,Tenacity_hrs,Substantivity_Index,Flash_Point_C,Solubility,Natural_Source,Short_Description
NOTE-0727,Nerol Acetate,Nerol acetate,0141-12-8,Heart,Medium,"Floral, Citrus",Terpenoid Ester,Floral / Citrus,"Soft, citrus-floral",196.29,230,Medium,3.2,0.02,4–6,38.0,93.0,Alcohol,Citrus blossoms,Soft citrus floral
NOTE-0728,Citronellyl Acetate,Citronellyl acetate,150-84-5,Top / Heart,Medium,"Floral, Fresh",Terpenoid Ester,Floral / Fresh,"Fresh, rosy",198.3,228,Medium,3.5,0.02,3–5,35.0,91.0,Alcohol,Citronella,Fresh rosy ester
NOTE-0729,Methyl Anthranilate,Methyl anthranilate,134-20-3,Heart,Medium,"Floral, Fruity",Aromatic Ester,Floral / Grape,"Sweet, fruity",151.16,256,Medium,2.1,0.01,4–6,42.0,98.0,Alcohol,Orange blossom,Grape-like floral
NOTE-0653,Indole,Indole,120-72-9,Base,Strong,White Floral,Heterocyclic,Animalic / Floral,"Fecal, jasmine",117.15,253,Low,2.1,0.0001,12–24,85.0,121.0,Alcohol,Jasmine,Animalic floral depth
NOTE-0730,Skatole,Skatole,83-34-1,Base,Strong,Animalic,Heterocyclic,Animalic,"Fecal, leathery",131.18,266,Low,2.6,5e-05,24+,90.0,135.0,Alcohol,Natural,Extreme animalic
NOTE-0649,Methyl Ionone,Methyl ionone,127-51-5,Heart,Medium,"Floral, Woody",Ketone,Floral / Woody,"Violet, woody",206.33,285,Medium,3.3,0.01,6–8,55.0,110.0,Alcohol,Synthetic,Violet woody note
NOTE-0731,Damascenol,Damascenol,28664-35-9,Heart,Medium,Floral,Alcohol,Floral / Fruity,"Rose, fruity",154.25,270,Medium,2.7,0.01,4–6,45.0,100.0,Alcohol,Rose,Fruity rose alcohol
NOTE-0541,Rose Oxide,Rose oxide,16409-43-1,Top,Medium,Floral,Terpene Oxide,Floral / Green,"Metallic, green",156.27,224,Medium,2.8,0.01,2–3,28.0,75.0,Alcohol,Rose,Metallic rose freshness
NOTE-0732,Aldehyde C14,γ-Undecalactone,104-67-6,Heart,Medium,"Fruity, Floral",Lactone,Fruity / Peach,"Creamy, peachy",184.28,290,Low,3.0,0.01,6–8,50.0,118.0,Alcohol,Synthetic,Peach aldehydic note
NOTE-0733,Aldehyde C18,γ-Nonalactone,104-61-0,Heart / Base,Medium,Gourmand,Lactone,Creamy / Coconut,"Milky, coconut",170.25,280,Low,2.9,0.01,6–8,55.0,115.0,Alcohol,Synthetic,Coconut cream note
NOTE-0734,Cis-3-Hexenyl Acetate,Cis-3-hexenyl acetate,3681-71-8,Top,Medium,"Green, Fruity",Ester,Green / Fruity,Fresh-cut grass,142.2,171,High,2.1,0.03,1–2,18.0,54.0,Alcohol,Leaves,Green fruity freshness
NOTE-0532,Cis-3-Hexenol,Cis-3-hexenol,928-96-1,Top,Medium,Green,Alcohol,Green / Fresh,"Leafy, grassy",100.16,157,High,1.5,0.03,1–2,18.0,54.0,Alcohol,Leaves,Fresh green leaf
NOTE-0735,Galbanol,Galbanol,6812-07-5,Heart,Medium,"Green, Chypre",Terpenoid Alcohol,Green / Resinous,"Bitter, green",222.37,285,Low,4.1,0.01,6–10,60.0,110.0,Alcohol,Galbanum resin,Bitter green resin
NOTE-0454,Cedarwood Atlas,Cedrol,77-53-2,Base,Medium,"Woody, Fougere",Sesquiterpene Alcohol,Woody / Dry,"Dry, pencil-like",222.37,274,Low,4.4,0.02,24+,85.0,150.0,Alcohol/oil,Atlas cedar,Dry woody fixative
NOTE-0459,Cedarwood Virginia,Cedrol,77-53-2,Base,Medium,Woody,Sesquiterpene Alcohol,Woody / Clean,"Clean, soft wood",222.37,274,Low,4.4,0.02,24+,85.0,150.0,Alcohol/oil,Juniperus virginiana,Clean cedarwood
NOTE-0515,Patchouli Heart,Patchoulol,5986-55-0,Base,Medium,"Woody, Oriental",Sesquiterpene Alcohol,Woody / Earthy,"Earthy, damp",222.37,280,Low,4.5,0.01,24+,90.0,150.0,Alcohol/oil,Patchouli leaves,Earthy woody core
NOTE-0736,Patchouli Light,Patchouli fraction,-,Base,Medium,Woody,Terpenoid Blend,Woody / Clean,"Clean, smooth",220+,280,Low,4.2,0.01,18–24,85.0,150.0,Alcohol/oil,Patchouli,Modern clean patchouli
NOTE-0453,Vetiver Haiti,Vetiverol,89-81-6,Base,Medium,"Woody, Smoky",Sesquiterpene Alcohol,Woody / Rooty,"Dry, smoky root",222.37,282,Low,4.3,0.01,24+,90.0,150.0,Alcohol/oil,Vetiver root,Dry rooty vetiver
NOTE-0586,Vetiver Java,Vetiverol,89-81-6,Base,Medium,"Woody, Smoky",Sesquiterpene Alcohol,Woody / Smoky,"Smoky, earthy",222.37,282,Low,4.3,0.01,24+,92.0,150.0,Alcohol/oil,Vetiver root,Smoky vetiver depth
NOTE-0461,Sandalore,Sandalore,65113-99-7,Base,Medium,"Woody, Oriental",Synthetic Sandalwood,Woody / Creamy,"Creamy, smooth",234.38,300,Low,4.8,0.01,24+,90.0,160.0,Alcohol,Synthetic,Creamy sandalwood
NOTE-0659,Javanol,Javanol,198404-98-7,Base,Strong,"Woody, Modern",Synthetic Sandalwood,Woody / Radiant,"Powerful, milky",252.4,300,Low,5.2,0.001,24+,95.0,160.0,Alcohol,Synthetic,Radiant sandalwood
NOTE-0709,Ebanol,Ebanol,67801-20-1,Base,Medium,Woody,Synthetic Sandalwood,Woody / Dry,"Dry, elegant",250.4,300,Low,5.0,0.005,24+,92.0,160.0,Alcohol,Synthetic,Dry sandalwood
NOTE-0650,Kephalis,Kephalis,65505-77-1,Base,Medium,"Amber, Woody",Ketone,Amber / Woody,"Amber, tobacco",260.4,300,Low,4.9,0.005,24+,90.0,160.0,Alcohol,Synthetic,Amber woody note
NOTE-0087,Cashmeran,Cashmeran,33704-61-9,Base,Medium,"Woody, Musk",Polycyclic Ketone,Musky / Woody,Soft musk wood,206.33,300,Low,4.1,0.01,24+,88.0,150.0,Alcohol,Synthetic,Soft musky wood
NOTE-0684,Norlimbanol,Norlimbanol,68155-66-8,Base,Strong,"Woody, Amber",Polycyclic Alcohol,Woody / Amber,"Dry, amber",236.4,300,Low,5.1,0.001,48+,95.0,160.0,Alcohol,Synthetic,Extreme woody power
NOTE-0021,Ambroxan,Ambroxide,6790-58-5,Base,Medium,Amber,Amberoid,Amber / Musky,"Warm, mineral",236.4,300,Low,4.5,0.005,48+,95.0,160.0,Alcohol,Synthetic,Ambergris replacer
NOTE-0631,Cetalox,Ambroxide,6790-58-5,Base,Medium,Amber,Amberoid,Amber / Dry,Clean amber,236.4,300,Low,4.5,0.005,48+,95.0,160.0,Alcohol,Synthetic,Dry amber note
NOTE-0737,Ambermax,Ambermax,71837-65-9,Base,Strong,"Amber, Woody",Polycyclic,Amber / Woody,Dry amber wood,272.4,300,Low,5.6,0.001,48+,98.0,165.0,Alcohol,Synthetic,Powerful amberwood
NOTE-0205,Iso E Super,Iso E Super,54464-57-2,Base,Medium,Woody,Polycyclic Ether,Woody / Smooth,Velvety cedar,234.38,300,Low,4.5,0.01,24+,85.0,150.0,Alcohol,Synthetic,Transparent wood
NOTE-0630,Timberol,Timberol,70788-30-6,Base,Medium,Woody,Alcohol,Woody / Dry,Dry cedar,222.37,300,Low,4.7,0.01,24+,85.0,150.0,Alcohol,Synthetic,Dry modern wood
NOTE-0738,Vertofix,Methyl cedryl ketone,32388-55-9,Base,Medium,"Woody, Leather",Ketone,Woody / Leather,"Dry, leathery",218.33,290,Low,4.2,0.01,24+,88.0,145.0,Alcohol,Synthetic,Dry leathery wood
NOTE-0739,Cedramber,Cedramber,19870-74-7,Base,Medium,"Woody, Amber",Amber Wood,Woody / Amber,Dry amber wood,250.4,300,Low,5.0,0.005,24+,92.0,160.0,Alcohol,Synthetic,Amber cedarwood
NOTE-0609,Muscone,Muscone,541-91-3,Base,Strong,"Musk, Animalic",Macrocyclic Ketone,Musky / Animalic,"Warm, sensual",238.41,320,Low,4.3,1e-05,48+,95.0,160.0,Alcohol/oil,Musk deer (synthetic),Classic animalic musk
NOTE-0666,Exaltolide,Exaltolide,0106-02-5,Base,Medium,Musk,Macrocyclic Lactone,Musky / Clean,"Soft, sweet musk",244.37,300,Low,4.6,5e-05,48+,92.0,150.0,Alcohol,Synthetic,Clean macro musk
NOTE-0505,Galaxolide,Galaxolide,1222-05-5,Base,Medium,"Musk, Floral",Polycyclic Musk,Musky / Clean,"Powdery, sweet",258.4,300,Low,5.9,0.01,48+,90.0,160.0,Alcohol,Synthetic,Clean laundry musk
NOTE-0476,Habanolide,Habanolide,34902-57-3,Base,Medium,Musk,Macrocyclic Musk,Musky / Metallic,"Clean, airy",270.4,300,Low,4.8,5e-05,48+,92.0,155.0,Alcohol,Synthetic,Metallic clean musk
NOTE-0507,Ambrettolide,Ambrettolide,28645-51-4,Base,Medium,"Musk, Fruity",Macrocyclic Lactone,Musky / Fruity,Pear-like musk,268.39,300,Low,4.7,1e-05,48+,95.0,155.0,Alcohol,Ambrette seed,Fruity musk
NOTE-0740,Civettone,Civettone,542-46-1,Base,Strong,Animalic,Macrocyclic Ketone,Musky / Animalic,"Animalic, warm",250.42,330,Low,4.5,1e-05,48+,98.0,165.0,Alcohol,Civet (synthetic),Animalic depth
NOTE-0608,Tonalid,Tonalid,21145-77-7,Base,Medium,Musk,Polycyclic Musk,Musky / Sweet,"Sweet, powdery",258.4,300,Low,5.7,0.01,48+,90.0,160.0,Alcohol,Synthetic,Sweet musk
NOTE-0465,Musk Ketone,Musk ketone,81-14-1,Base,Medium,Musk,Nitro Musk,Musky / Sweet,Powdery musk,294.3,340,Low,4.3,0.01,48+,92.0,165.0,Alcohol,Synthetic,Classic nitro musk
NOTE-0741,Musk Xylene,Musk xylene,81-15-2,Base,Medium,Musk,Nitro Musk,Musky / Sweet,Powdery,297.3,350,Low,4.4,0.01,48+,92.0,170.0,Alcohol,Synthetic,Vintage musk
NOTE-0506,Helvetolide,Helvetolide,141773-73-1,Base,Medium,"Musk, Fruity",Macrocyclic Lactone,Musky / Fruity,"Pear, clean",284.4,300,Low,5.0,1e-05,48+,95.0,160.0,Alcohol,Synthetic,Modern fruity musk
NOTE-0742,Iso E Super Plus,Iso E Super,54464-57-2,Base,Medium,Woody,Polycyclic Ether,Woody / Smooth,"Soft, velvety",234.38,300,Low,4.5,0.01,24+,85.0,150.0,Alcohol,Synthetic,Enhanced Iso E
NOTE-0707,Clearwood,Clearwood,1356815-19-9,Base,Medium,Woody,Biotech Terpene,Woody / Clean,Patchouli-like,224.35,300,Low,4.2,0.01,24+,85.0,150.0,Alcohol,Sugarcane (bio),Clean patchouli
NOTE-0743,Orcanox,Orcanox,57378-68-4,Base,Medium,"Amber, Musk",Amberoid,Amber / Musky,Soft amber,246.4,300,Low,4.9,0.005,48+,92.0,160.0,Alcohol,Synthetic,Musky amber
NOTE-0703,Fixolide,Fixolide,1222-05-5,Base,Medium,"Musk, Woody",Polycyclic Musk,Musky / Woody,Woody musk,258.4,300,Low,5.8,0.01,48+,90.0,160.0,Alcohol,Synthetic,Fixative musk
NOTE-0700,Velvione,Velvione,300371-33-9,Base,Medium,Musk,Macrocyclic Musk,Musky / Powdery,Soft powdery,282.4,300,Low,5.1,1e-05,48+,95.0,160.0,Alcohol,Synthetic,Powdery musk
NOTE-0617,Muscenone,Muscenone,82356-51-2,Base,Strong,Musk,Macrocyclic Ketone,Musky / Animalic,Warm sensual,250.42,330,Low,4.5,1e-05,48+,98.0,165.0,Alcohol,Synthetic,Sensual musk
NOTE-0744,Zenolide,Zenolide,2445-80-5,Base,Medium,Musk,Macrocyclic Lactone,Musky / Clean,Clean soft,256.4,300,Low,4.7,5e-05,48+,92.0,155.0,Alcohol,Synthetic,Clean musk
NOTE-0745,Nirvanolide,Nirvanolide,37609-25-9,Base,Medium,Musk,Macrocyclic Musk,Musky / Creamy,Creamy musk,270.4,300,Low,5.0,1e-05,48+,95.0,160.0,Alcohol,Synthetic,Creamy musk
NOTE-0661,Romandolide,Romandolide,236391-76-7,Base,Medium,"Musk, Floral",Macrocyclic Musk,Musky / Floral,Elegant musk,282.4,300,Low,5.2,1e-05,48+,95.0,160.0,Alcohol,Synthetic,Floral musk
NOTE-0746,Serenolide,Serenolide,144676-02-0,Base,Medium,Musk,Macrocyclic Musk,Musky / Fresh,Fresh clean,268.4,300,Low,5.0,1e-05,48+,95.0,160.0,Alcohol,Synthetic,Fresh musk
NOTE-0747,Aldehyde C10,Decanal,112-31-2,Top,Medium,"Aldehydic, Citrus",Aliphatic Aldehyde,Aldehydic / Citrus,"Waxy, orange peel",156.27,208,High,3.3,0.02,1–2,15.0,70.0,Alcohol,Citrus peel,Bright aldehydic citrus
NOTE-0748,Aldehyde C11,Undecylenic aldehyde,112-44-7,Top,Medium,Aldehydic,Aliphatic Aldehyde,Aldehydic / Green,"Fatty, green",168.28,231,Medium,4.1,0.02,1–2,18.0,82.0,Alcohol,Synthetic,Green fatty aldehyde
NOTE-0749,Aldehyde C12 Lauric,Dodecanal,112-54-9,Top,Medium,"Aldehydic, Floral",Aliphatic Aldehyde,Aldehydic / Soapy,"Clean, soapy",184.32,258,Medium,4.8,0.02,1–2,20.0,102.0,Alcohol,Synthetic,Classic aldehydic soap
NOTE-0750,Aldehyde C12 MNA,2-Methylundecanal,110-41-8,Top,Medium,Aldehydic,Aliphatic Aldehyde,Aldehydic / Floral,"Metallic, clean",184.32,250,Medium,4.6,0.01,1–2,20.0,96.0,Alcohol,Synthetic,Floral aldehyde
NOTE-0751,Aldehyde C13,Tridecanal,10486-19-8,Top,Medium,Aldehydic,Aliphatic Aldehyde,Aldehydic / Fatty,"Fatty, citrus",198.34,270,Low,5.3,0.02,1–2,22.0,112.0,Alcohol,Synthetic,Heavy aldehydic
NOTE-0752,Aldehyde C14 Peach,γ-Undecalactone,104-67-6,Heart,Medium,"Fruity, Floral",Lactone,Fruity / Peach,Creamy peach,184.28,290,Low,3.0,0.01,4–6,45.0,118.0,Alcohol,Synthetic,Peach lactone
NOTE-0753,Aldehyde C16 Strawberry,Ethyl methyl phenylglycidate,77-83-8,Heart,Medium,Fruity,Aromatic Ester,Fruity / Sweet,"Strawberry, candy",206.24,290,Low,2.6,0.01,4–6,45.0,110.0,Alcohol,Synthetic,Strawberry sweetness
NOTE-0754,Aldehyde C18 Coconut,γ-Nonalactone,104-61-0,Heart/Base,Medium,Gourmand,Lactone,Creamy / Coconut,Milky coconut,170.25,280,Low,2.9,0.01,6–8,55.0,115.0,Alcohol,Synthetic,Coconut cream
NOTE-0497,Calone,Calone 1951,,Top,Medium,Marine,Ketone,Marine / Ozone,"Watery, sea breeze",180.25,285,Medium,3.0,0.01,3–5,35.0,98.0,Alcohol,Synthetic,Marine freshness
NOTE-0639,Helional,Helional,1205-17-0,Top/Heart,Medium,"Marine, Green",Aromatic Aldehyde,Marine / Green,"Fresh, watery",178.23,269,Medium,2.6,0.01,3–5,35.0,95.0,Alcohol,Synthetic,Clean watery green
NOTE-0651,Floralozone,Floralozone,67634-00-8,Top,Medium,"Floral, Ozone",Ketone,Ozone / Floral,"Airy, fresh",184.27,290,Low,3.2,0.01,3–4,30.0,110.0,Alcohol,Synthetic,Airy floral ozone
NOTE-0640,Melonal,Melonal,106-72-9,Top,Medium,"Green, Marine",Aldehyde,Green / Watery,"Melon, green",170.25,250,Medium,2.9,0.02,2–3,25.0,90.0,Alcohol,Synthetic,Fresh melon green
NOTE-0652,Aquozone,Aquozone,68555-66-8,Top,Medium,Marine,Ketone,Marine / Fresh,"Ozone, mineral",214.3,300,Low,3.5,0.01,3–4,30.0,120.0,Alcohol,Synthetic,Mineral marine
NOTE-0498,Dihydromyrcenol,Dihydromyrcenol,18479-58-8,Top,Medium,"Fresh, Citrus",Terpenoid Alcohol,Fresh / Citrus,"Clean, laundry",156.27,211,High,3.3,0.02,2–3,25.0,77.0,Alcohol,Synthetic,Fresh citrus clean
NOTE-0755,Cyclamen Aldehyde,Cyclamen aldehyde,103-95-7,Top/Heart,Medium,Floral,Aldehyde,Floral / Watery,"Clean, muguet",154.21,241,Medium,2.7,0.01,3–4,30.0,95.0,Alcohol,Synthetic,Watery floral
NOTE-0685,Lyral,Hydroxyisohexyl 3-cyclohexene carboxaldehyde,,Heart,Medium,Floral,Aldehyde,Floral / Lily,Muguet,210.31,290,Low,3.1,0.01,4–6,40.0,120.0,Alcohol,Synthetic,Lily-of-valley
NOTE-0686,Lilial,Butylphenyl methylpropional,80-54-6,Heart,Medium,Floral,Aldehyde,Floral / Powdery,"Muguet, powder",204.3,300,Low,3.3,0.01,4–6,40.0,120.0,Alcohol,Synthetic,Soft floral aldehyde
NOTE-0756,Florhydral,Florhydral,125109-85-5,Heart,Medium,Floral,Aldehyde,Floral / Fresh,Clean muguet,212.33,300,Low,3.2,0.01,4–6,40.0,120.0,Alcohol,Synthetic,Modern floral
NOTE-0757,Bourgeonal,Bourgeonal,18127-01-0,Heart,Medium,"Floral, Green",Aldehyde,Floral / Green,Green muguet,196.29,285,Low,3.1,0.01,4–6,40.0,110.0,Alcohol,Synthetic,Green floral
NOTE-0758,Florol,Florol,63500-71-0,Heart,Medium,Floral,Alcohol,Floral / Watery,"Clean, fresh",188.3,280,Low,3.0,0.01,4–6,40.0,110.0,Alcohol,Synthetic,Fresh floral body
NOTE-0634,Pink Pepper Oil,Limonene-rich oil,8016-20-4,Top,Medium,"Spicy, Fresh",Terpenoid,Spicy / Fresh,"Rosy, peppery",136.24,176,High,4.5,0.02,1–2,18.0,50.0,Alcohol/oil,Pink peppercorn,Fresh spicy lift
NOTE-0554,Black Pepper Oil,β-Caryophyllene,8006-82-4,Top,Medium,"Spicy, Woody",Sesquiterpene,Spicy / Dry,"Dry, peppery",204.36,262,Medium,4.3,0.02,2–3,22.0,87.0,Alcohol/oil,Black pepper,Dry spice bite
NOTE-0550,Cardamom Oil,"1,8-Cineole rich",8000-66-6,Top/Heart,Medium,"Spicy, Fresh",Terpenoid,Spicy / Fresh,"Cool, citrusy",154.25,176,Medium,2.8,0.01,3–4,28.0,65.0,Alcohol,Cardamom pods,Cool aromatic spice
NOTE-0560,Coriander Seed Oil,Linalool rich,8008-52-4,Top/Heart,Medium,"Spicy, Citrus",Terpenoid,Spicy / Citrus,"Warm, citrus spice",154.25,198,Medium,2.9,0.02,3–4,28.0,78.0,Alcohol,Coriander seeds,Soft citrus spice
NOTE-0514,Nutmeg Oil,Sabinene rich,8008-45-5,Heart,Medium,"Spicy, Woody",Terpenoid,Spicy / Warm,"Sweet, woody spice",136.24,167,Medium,4.0,0.02,4–6,35.0,69.0,Alcohol,Nutmeg seed,Warm sweet spice
NOTE-0513,Clove Bud Oil,Eugenol rich,8000-34-8,Heart,Strong,"Spicy, Gourmand",Phenolic,Spicy / Sweet,Warm clove,164.2,254,Medium,2.4,0.005,6–8,45.0,93.0,Alcohol,Clove buds,Sweet spicy warmth
NOTE-0546,Cinnamon Leaf Oil,Eugenol rich,8015-91-6,Heart,Strong,Spicy,Phenolic,Spicy / Warm,"Warm, woody",164.2,254,Medium,2.4,0.005,6–8,45.0,93.0,Alcohol,Cinnamon leaves,Warm spice
NOTE-0635,Ginger Oil,Zingiberene,8007-08-7,Top,Medium,"Spicy, Fresh",Sesquiterpene,Spicy / Fresh,"Fresh, hot",204.36,255,Medium,4.1,0.02,2–3,22.0,87.0,Alcohol,Ginger root,Fresh spicy heat
NOTE-0349,Saffron,Safranal,116-26-7,Heart,Medium,"Leather, Spicy",Aldehyde,Spicy / Leathery,"Dry, metallic",150.22,280,Low,2.9,0.005,4–6,40.0,110.0,Alcohol,Crocus stigma,Dry leathery spice
NOTE-0559,Cumin Seed Oil,Cuminaldehyde,8014-13-9,Heart,Medium,"Spicy, Animalic",Aldehyde,Spicy / Animalic,Sweaty spice,148.2,237,Medium,2.7,0.01,4–6,40.0,90.0,Alcohol,Cumin seeds,Warm animalic spice
NOTE-0759,Olibanum Oil,α-Pinene rich,8016-36-2,Top/Heart,Medium,Incense,Terpenoid Resin,Resinous / Citrus,Fresh incense,136.24,156,Medium,2.7,0.02,3–5,30.0,65.0,Alcohol,Frankincense resin,Bright incense
NOTE-0760,Myrrh Oil,"Furanoeudesma-1,3-diene",8016-37-3,Base,Medium,"Incense, Resin",Sesquiterpene,Resinous / Bitter,"Bitter, medicinal",204.36,280,Low,4.2,0.01,12–24,70.0,110.0,Alcohol,Myrrh resin,Bitter resin depth
NOTE-0761,Elemi Oil,Limonene rich,8023-89-0,Top/Heart,Medium,Incense,Terpenoid,Resinous / Fresh,Citrus resin,136.24,176,Medium,3.0,0.02,3–5,30.0,65.0,Alcohol,Elemi resin,Fresh incense lift
NOTE-0455,Labdanum Absolute,Labdanum resinoid,8016-26-0,Base,Medium,"Amber, Oriental",Resin,Amber / Resinous,Sweet amber,300+,300,Low,5.5,0.005,24+,85.0,150.0,Alcohol,Cistus,Ambery resin
NOTE-0457,Benzoin Siam,Benzoic esters,9000-05-9,Base,Medium,"Amber, Gourmand",Resin,Sweet / Balsamic,Vanilla-like,300+,300,Low,4.8,0.005,24+,85.0,150.0,Alcohol,Styrax tree,Sweet balsam
NOTE-0376,Styrax,Styrene derivatives,9000-19-6,Base,Medium,"Leather, Amber",Resin,Balsamic / Smoky,Smoky balsam,300+,300,Low,4.6,0.005,24+,85.0,150.0,Alcohol,Styrax resin,Smoky balsam
NOTE-0309,Peru Balsam,Benzyl cinnamate,8007-00-9,Base,Medium,Amber,Resin,Sweet / Resinous,Warm vanilla,300+,300,Low,4.9,0.005,24+,90.0,150.0,Alcohol,Myroxylon tree,Sweet balsam
NOTE-0395,Tolu Balsam,Benzoic esters,9000-64-2,Base,Medium,Amber,Resin,Sweet / Resinous,Cinnamon vanilla,300+,300,Low,4.8,0.005,24+,90.0,150.0,Alcohol,Myroxylon balsamum,Warm balsam
NOTE-0284,Opoponax,Sesquiterpene resin,8016-37-3,Base,Medium,Amber,Resin,Sweet / Spicy,Sweet myrrh,300+,300,Low,4.7,0.005,24+,90.0,150.0,Alcohol,Commiphora resin,Sweet resin
NOTE-0075,Cade Oil,Phenolic tar,8000-27-9,Base,Strong,"Leather, Smoke",Phenolic Tar,Smoky / Leathery,"Burnt, tarry",300+,300,Low,4.3,0.005,24+,95.0,160.0,Alcohol,Juniper wood,Smoky leather tar
NOTE-0762,Fir Balsam Absolute,Bornyl acetate rich,8021-27-2,Heart/Base,Medium,"Green, Woody",Terpenoid Resin,Green / Balsamic,"Pine, resin",196.29,230,Medium,4.1,0.02,8–12,55.0,75.0,Alcohol,Abies balsamea,Green balsamic pine
NOTE-0763,Pine Needle Oil,α-Pinene rich,8002-09-3,Top,Medium,"Green, Fresh",Monoterpene,Green / Fresh,Sharp pine,136.24,156,High,2.8,0.02,1–2,18.0,45.0,Alcohol,Pine needles,Crisp pine freshness
NOTE-0764,Cypress Oil,α-Pinene rich,8013-86-3,Top/Heart,Medium,"Woody, Green",Monoterpene,Woody / Green,Dry conifer,136.24,156,Medium,3.0,0.02,2–3,22.0,45.0,Alcohol,Cypress,Dry green wood
NOTE-0765,Juniper Berry Oil,α-Pinene rich,8012-91-7,Top,Medium,"Aromatic, Fresh",Monoterpene,Aromatic / Gin,"Fresh, resinous",136.24,156,High,2.7,0.02,1–2,18.0,45.0,Alcohol,Juniper berries,Gin-like freshness
NOTE-0766,Spruce Oil,Bornyl acetate rich,8021-29-4,Top/Heart,Medium,"Green, Woody",Terpenoid,Green / Resinous,"Fir, resin",196.29,230,Medium,4.0,0.02,2–4,28.0,75.0,Alcohol,Spruce needles,Resinous green
NOTE-0535,Rosemary Oil,"1,8-Cineole rich",8000-25-7,Top,Medium,Aromatic,Terpenoid,Herbal / Fresh,Camphoraceous,154.25,176,High,2.8,0.02,1–2,18.0,49.0,Alcohol,Rosemary leaves,Fresh herbal
NOTE-0636,Sage Oil,Thujone rich,8016-65-7,Top,Medium,Aromatic,Terpenoid,Herbal / Dry,Dry herbal,152.23,200,Medium,2.7,0.02,1–2,18.0,65.0,Alcohol,Sage leaves,Dry herbal
NOTE-0451,Clary Sage Oil,Linalyl acetate rich,8016-63-5,Top/Heart,Medium,"Aromatic, Amber",Terpenoid,Herbal / Sweet,Musky herbal,196.29,220,Medium,3.0,0.02,3–4,28.0,74.0,Alcohol,Clary sage,Sweet herbal
NOTE-0558,Thyme Oil,Thymol rich,8007-46-3,Top,Medium,Aromatic,Phenolic,Herbal / Spicy,Medicinal,150.22,233,Medium,3.3,0.02,1–2,18.0,74.0,Alcohol,Thyme,Sharp herbal spice
NOTE-0557,Basil Oil,Estragole rich,8015-73-4,Top,Medium,Aromatic,Phenylpropene,Herbal / Sweet,Sweet green,148.2,216,Medium,2.7,0.02,1–2,18.0,87.0,Alcohol,Basil,Sweet herb
NOTE-0447,Lavender Absolute,Linalool rich,8000-28-0,Heart,Medium,"Aromatic, Floral",Terpenoid,Floral / Herbal,Soft floral,154.25,198,Medium,2.9,0.02,4–6,40.0,78.0,Alcohol,Lavender,Soft aromatic floral
NOTE-0767,Hyssop Oil,Pinocamphone rich,8006-83-5,Top,Medium,Aromatic,Terpenoid,Herbal / Green,Sharp herb,152.23,200,Medium,2.6,0.02,1–2,18.0,65.0,Alcohol,Hyssop,Sharp green herb
NOTE-0768,Artemisia Oil,Thujone rich,8007-43-2,Top,Medium,Aromatic,Terpenoid,Herbal / Bitter,Bitter green,152.23,200,Medium,2.7,0.02,1–2,18.0,65.0,Alcohol,Wormwood,Bitter herb
NOTE-0769,Tarragon Oil,Estragole rich,8016-88-4,Top,Medium,Aromatic,Phenylpropene,Herbal / Anise,Sweet anise,148.2,216,Medium,2.7,0.02,1–2,18.0,87.0,Alcohol,Tarragon,Sweet anise herb
NOTE-0770,Bay Leaf Oil,Eugenol rich,8006-78-8,Top,Medium,"Spicy, Aromatic",Phenolic,Spicy / Herbal,Warm clove,164.2,254,Medium,2.4,0.01,2–3,22.0,93.0,Alcohol,Bay leaves,Warm herbal spice
NOTE-0771,Mint Oil,Menthol rich,8006-90-4,Top,Strong,Fresh,Terpenoid,Fresh / Cooling,Icy mint,156.27,212,High,3.4,0.02,1–2,18.0,75.0,Alcohol,Mint leaves,Cooling freshness
NOTE-0772,Spearmint Oil,Carvone rich,8008-79-5,Top,Medium,Fresh,Terpenoid,Fresh / Sweet,Sweet mint,150.22,230,Medium,2.5,0.02,1–2,18.0,80.0,Alcohol,Spearmint,Sweet mint
NOTE-0773,Eucalyptus Oil,"1,8-Cineole",8000-48-4,Top,Strong,Fresh,Terpenoid,Fresh / Medicinal,Camphor,154.25,176,High,2.8,0.02,1–2,18.0,49.0,Alcohol,Eucalyptus,Medicinal fresh
NOTE-0774,Camphor,Camphor,76-22-2,Top,Strong,Medicinal,Terpenoid Ketone,Medicinal / Fresh,Cooling,152.23,204,High,2.4,0.02,1–2,18.0,65.0,Alcohol,Camphor tree,Cooling camphor
NOTE-0775,Wintergreen Oil,Methyl salicylate,68917-75-9,Top,Medium,Medicinal,Aromatic Ester,Medicinal / Sweet,Sweet mint,152.15,220,Medium,2.5,0.02,1–2,18.0,96.0,Alcohol,Wintergreen,Sweet medicinal
NOTE-0776,Orange Oil Sweet,Limonene rich,8008-57-9,Top,Medium,Citrus,Monoterpene,Citrus / Sweet,Juicy orange peel,136.24,176,High,4.5,0.02,1–2,15.0,48.0,Alcohol,Sweet orange peel,Bright sweet citrus
